file,mean_dchg_cap_Ah,delta_dchg_cap_Ah,mean_chg_cap_Ah,delta_chg_cap_Ah,mean_coul_eff,delta_coul_eff,mean_v_dis_avg,delta_v_dis_avg,mean_v_chg_avg,delta_v_chg_avg,mean_t_dis_h,delta_t_dis_h,mean_t_chg_h,delta_t_chg_h,mean_i_dis_A,delta_i_dis_A,mean_i_chg_A,delta_i_chg_A,mean_energy_dis_Wh,delta_energy_dis_Wh,mean_polarization_V,delta_polarization_V,slope_cap_per100,slope_energy_per100,slope_polar_per100,health_score,label_score,label_gmm,label
./data/2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,0.0013287357142857145,-0.00035311999999999995,0.0022204714285714287,-0.00028990000000000005,0.5988983985658555,-0.08788224685148788,3.5998233196051173,-0.16347888273584665,3.8724069200982174,0.03721896220852239,0.2243373015873011,1.1639166666666634,1.6220436507936513,-0.21172222222222992,0.0012527380594377288,-0.00038539035749104674,0.001368922166238467,-4.0655588314083765e-08,0.00527018158866716,-0.0025104970336466406,0.27258360049309976,0.20069784494436904,-0.0037833928571428554,-0.027335319544885456,2.220012989060786,-2.1948589580787297,bad,good,bad
./data/2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23_good.xlsx,0.0013792275,,0.00220676,-0.0005217999999999998,0.6146822739952482,,3.6184472038032793,,3.8745923669926454,0.03125963917870589,0.0481875,,1.6124666666666658,-0.38119444444444994,0.001295455167871443,,0.0013685595416823137,-7.703150080242034e-08,0.005563095707385595,,0.25700978115475603,,-3.000000000205766e-07,-0.004710562924342031,1.964193074263167,-1.1427121714061743,bad,good,bad
./data/2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48_good.xlsx,0.0013791825,,0.0021965599999999997,-0.0004883999999999999,0.6156747738812335,,3.637396876876877,,3.851830171779396,-0.00033065410199561995,0.052944444444444426,,1.6048722222222218,-0.35680555555555005,0.001300844826418856,,0.0013686559107353412,-5.249907612738143e-08,0.005638292268692862,,0.21917933216554952,,-1.0000000000069197e-07,0.0012750371713158026,0.9577782942488235,-0.6269703073342963,bad,good,bad
./data/2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,0.0013791814285714287,0.0,0.002143942857142857,-0.0005565000000000001,0.6475019737236218,0.15315243884100482,3.6134412055283103,-0.08874998198522777,3.8718725237618083,0.07534175867866155,0.02620238095238096,-0.07488888888888892,1.5663769841269846,-0.40644444444443995,0.0012693277155607036,-9.91932218905216e-05,0.0013687156296091434,-8.165212649936804e-08,0.0056010453820122905,-0.00015623859991443449,0.2584313182334978,0.16409174066388932,-7.142857141948062e-08,-0.002838366209903473,2.506547447784206,-1.2584229910459181,bad,good,bad
./data/2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-26-11_good.xlsx,0.0013791825,,0.00218644,-0.0006103,0.6158160393540826,,3.636034592227274,,3.8604967629306755,0.05096599044578509,0.04398611111111113,,1.5974166666666663,-0.44577777777776983,0.001292136670790278,,0.0013687247093819067,-6.448217793986015e-08,0.005643840635963528,,0.22293307066986212,,-1.0000000000069197e-07,-0.005684246638304074,3.393170496079692,-1.5008842340057864,bad,good,bad
./data/2025-06-11 MSE supplies Gra NMC811 XFC 2_2_4_2025-06-19 16-25-02_bad.xlsx,0.0009874114285714287,-0.00033496999999999997,0.0018653142857142859,-0.0012801000000000002,0.5425159345028614,0.1329145201372668,3.4686650191420036,-0.050790553042241005,3.893020015318494,0.08608431212976386,2.77777777777778e-05,0.0,1.3620674603174614,-0.93469444444444,0.0013380742354769575,0.00012490753133736587,0.0013694396634058917,-4.408426008766474e-08,0.004028555180046815,-0.001183746969188047,0.42435499617649025,0.13687486517200487,-0.006643464285714272,-0.023449518085743696,1.6477364475595355,-3.6654889164373707,bad,good,bad
./data/2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,0.0012236071428571428,-0.00035024000000000014,0.0019884142857142855,-0.0007127999999999998,0.6162473915576505,0.03823711016292919,3.5743985587824416,-0.056959778773783665,3.906726412751,0.08267355742296889,0.009269841269841265,-0.04136111111111112,1.4521190476190473,-0.5205,0.0012801678421019119,3.330527736152239e-05,0.001369291507221399,-4.5081519787180946e-08,0.004970514938524886,-0.0012129439623425001,0.3323278539685591,0.13963333619675256,-0.0070680714285714106,-0.02602602606777269,2.552305924626637,-3.148063822085152,bad,good,bad
./data/2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good.xlsx,0.0018705363636363633,-0.00099407,0.0033952827272727276,-0.00274112,0.5722969765398145,0.1588040241600298,3.4601755326724986,0.03899563901845715,3.8846791978755912,0.16975783427842517,1.249974747474748,-1.195277777777782,1.7414393939393944,-1.058055555555558,0.0014720101336099614,0.00041839565456664287,0.0024021429781289193,-1.8172006823044193e-07,0.006741260773586518,-0.002897047366226672,0.4245036652030913,0.13076219525996802,-0.00018244391337843592,-0.000488991897469623,0.020321836508313897,1.8063794553030117,good,good,good
./data/2025-06-25 GraSi NMC811 LP57 2_5_6_2025-06-26 12-34-47_good.xlsx,0.0012444746666666665,-0.00181774,0.002054541333333333,-0.00370005,0.5614939549725779,-0.07757170282550352,3.295935621566301,-0.45286016815374097,3.9440796063591557,0.14286814746774645,0.5279814814814814,-0.8819444444444442,1.0034444444444441,-1.4283333333333368,0.0019082456835462778,0.0013881069015099527,0.0024522842910141953,-3.110642561934829e-08,0.004596584619545582,-0.0064164548897863855,0.6481439847928553,0.5957283156214874,-0.0002827153917351698,-0.0009972595710319835,0.08188261026128316,-1.109568031968068,bad,good,bad
./data/2025-06-25 GraSi NMC811 LP57 3_5_7_2025-06-26 12-35-11_bad.xlsx,0.0012040793333333332,-0.0018127299999999998,0.0020855799999999996,-0.00381115,0.5619056554028684,0.0322450832135277,3.285426644723764,-0.40103146198830375,3.9831104966784454,0.23775778521884705,0.6245370370370364,-0.6444444444444442,1.0529259259259252,-1.47111111111111,0.0019171464958720329,0.0010380700701754383,0.0024524500321282377,-3.6854341066774876e-08,0.004400838564601481,-0.0064350431315881975,0.6976838519546813,0.6387892472071508,-0.00027794623054085924,-0.0009868477274770312,0.08565608595770866,-1.1809423190862074,bad,good,bad
