DataPoint,cycle_index,step_type,Time(h),Total Time(h),current_a,voltage_v,capacity_ah,spec_cap,chg_cap,chg_spec,dchg_cap,dchg_spec,energy_wh,date,power_w,mission_step,t_cum_s,Cycle,file,file_key,label,dvdt_v_per_s,V0,Cap0,E0,P0,V_delta,Cap_delta,E_delta,P_delta,V_mean_upto,V_std_upto,V_min_upto,I_mean_upto,I_std_upto,I_abs_mean_upto,P_mean_upto,P_std_upto,Vsag_upto,Vsag_ratio_upto,dVdt_slope_upto
29432,10,CC DChg,0.833333333333333,81.3659166666667,-0.00091945,3.5871,0.00076621,56.01,0.0,0.0,0.00076621,56.01,0.002855,2025-06-26 12:05:10,-0.00329814,take_off,0.0,10,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_not_drone,-7.999999999999118e-05,3.5871,0.00076621,0.002855,-0.00329814,0.0,0.0,0.0,0.0,3.5871,,3.5871,-0.00091945,,0.00091945,-0.00329814,,0.0,0.0,
31022,11,CC DChg,0.883333333333333,85.7310833333333,-0.00091944,3.6377,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307805,2025-06-26 16:27:07,-0.00334466,take_off,0.0,11,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-0.0001,3.6377,0.00081218,0.00307805,-0.00334466,0.0,0.0,0.0,0.0,3.6377,,3.6377,-0.00091944,,0.00091944,-0.00334466,,0.0,0.0,
33087,12,CC DChg,0.883333333333333,91.4226666666667,-0.00091946,3.6358,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00307617,2025-06-26 22:08:37,-0.00334301,take_off,0.0,12,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05,3.6358,0.00081219,0.00307617,-0.00334301,0.0,0.0,0.0,0.0,3.6358,,3.6358,-0.00091946,,0.00091946,-0.00334301,,0.0,0.0,
35147,13,CC DChg,0.883333333333333,97.0988888888889,-0.00091945,3.6374,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307771,2025-06-27 03:49:12,-0.00334444,take_off,0.0,13,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05,3.6374,0.00081218,0.00307771,-0.00334444,0.0,0.0,0.0,0.0,3.6374,,3.6374,-0.00091945,,0.00091945,-0.00334444,,0.0,0.0,
37207,14,CC DChg,0.883333333333333,102.776138888889,-0.00091945,3.6359,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307569,2025-06-27 09:29:51,-0.00334305,take_off,0.0,14,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-7.999999999999118e-05,3.6359,0.00081218,0.00307569,-0.00334305,0.0,0.0,0.0,0.0,3.6359,,3.6359,-0.00091945,,0.00091945,-0.00334305,,0.0,0.0,
39258,15,CC DChg,0.883333333333333,108.428666666667,-0.00091946,3.634,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00307509,2025-06-27 15:09:01,-0.00334132,take_off,0.0,15,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-8.999999999996789e-05,3.634,0.00081219,0.00307509,-0.00334132,0.0,0.0,0.0,0.0,3.634,,3.634,-0.00091946,,0.00091946,-0.00334132,,0.0,0.0,
41306,16,CC DChg,0.883333333333333,114.073694444444,-0.00091945,3.6337,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00307477,2025-06-27 20:47:44,-0.00334101,take_off,0.0,16,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-0.0001,3.6337,0.00081219,0.00307477,-0.00334101,0.0,0.0,0.0,0.0,3.6337,,3.6337,-0.00091945,,0.00091945,-0.00334101,,0.0,0.0,
43352,17,CC DChg,0.883333333333333,119.712972222222,-0.00091945,3.6332,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307414,2025-06-28 02:26:06,-0.00334054,take_off,0.0,17,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.9999999999989e-05,3.6332,0.00081218,0.00307414,-0.00334054,0.0,0.0,0.0,0.0,3.6332,,3.6332,-0.00091945,,0.00091945,-0.00334054,,0.0,0.0,
45395,18,CC DChg,0.883333333333333,125.343222222222,-0.00091945,3.6321,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307353,2025-06-28 08:03:55,-0.0033395,take_off,0.0,18,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-8.999999999996789e-05,3.6321,0.00081218,0.00307353,-0.0033395,0.0,0.0,0.0,0.0,3.6321,,3.6321,-0.00091945,,0.00091945,-0.0033395,,0.0,0.0,
47436,19,CC DChg,0.883333333333333,130.9665,-0.00091946,3.6322,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00307343,2025-06-28 13:41:20,-0.00333963,take_off,0.0,19,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05,3.6322,0.00081219,0.00307343,-0.00333963,0.0,0.0,0.0,0.0,3.6322,,3.6322,-0.00091946,,0.00091946,-0.00333963,,0.0,0.0,
