DataPoint,cycle_index,step_type,Time(h),Total Time(h),current_a,voltage_v,capacity_ah,spec_cap,chg_cap,chg_spec,dchg_cap,dchg_spec,energy_wh,date,power_w,mission_step,t_cum_s,Cycle,file,file_key,label,dvdt_v_per_s
43353,17,CC DChg,0.886111111111111,119.71575,-0.00091946,3.6322,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.00308342,2025-06-28 02:26:16,-0.00333962,take_off,10.0,17,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.500000000000064e-05
45395,18,CC DChg,0.883333333333333,125.343222222222,-0.00091945,3.6321,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307353,2025-06-28 08:03:55,-0.0033395,take_off,0.0,18,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-8.999999999996789e-05
45396,18,CC DChg,0.886111111111111,125.346,-0.00091945,3.6312,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.0030828,2025-06-28 08:04:05,-0.00333871,take_off,10.0,18,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.000000000000674e-05
47436,19,CC DChg,0.883333333333333,130.9665,-0.00091946,3.6322,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00307343,2025-06-28 13:41:20,-0.00333963,take_off,0.0,19,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05
47437,19,CC DChg,0.886111111111111,130.969277777778,-0.00091946,3.6313,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.00308271,2025-06-28 13:41:30,-0.00333878,take_off,10.0,19,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.500000000000064e-05
49477,20,CC DChg,0.883333333333333,136.593333333333,-0.00091948,3.6358,0.0008122,59.37,0.0,0.0,0.0008122,59.37,0.00307612,2025-06-28 19:18:57,-0.00334302,take_off,0.0,20,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-0.0001000000000000334
49478,20,CC DChg,0.886111111111111,136.596111111111,-0.00091948,3.6348,0.00081476,59.55,0.0,0.0,0.00081476,59.55,0.0030854,2025-06-28 19:19:07,-0.00334212,take_off,10.0,20,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.500000000000064e-05
51524,21,CC DChg,0.883333333333333,142.233638888889,-0.00091947,3.6351,0.0008122,59.37,0.0,0.0,0.0008122,59.37,0.00307566,2025-06-29 00:57:23,-0.00334237,take_off,0.0,21,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05
51525,21,CC DChg,0.886111111111111,142.236416666667,-0.00091947,3.6342,0.00081476,59.55,0.0,0.0,0.00081476,59.55,0.00308494,2025-06-29 00:57:33,-0.00334153,take_off,10.0,21,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-8.999999999999009e-05
30427,11,CC DChg,0.883333333333333,84.0800555555556,-0.00091945,3.6027,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00305885,2025-06-26 14:46:57,-0.00331256,take_off,0.0,11,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.00000000000123e-05
30428,11,CC DChg,0.886111111111111,84.0828333333333,-0.00091946,3.6018,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.00306805,2025-06-26 14:47:07,-0.00331166,take_off,10.0,11,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-0.00010000000000001119
32084,12,CC DChg,0.883333333333333,88.6376944444444,-0.00091945,3.5962,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00305267,2025-06-26 19:20:25,-0.00330654,take_off,0.0,12,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.999999999998899e-05
32085,12,CC DChg,0.886111111111111,88.6404722222222,-0.00091945,3.5952,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.00306185,2025-06-26 19:20:35,-0.00330564,take_off,10.0,12,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.500000000000064e-05
33685,13,CC DChg,0.883333333333333,93.0389166666667,-0.00091945,3.5967,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00305339,2025-06-26 23:44:30,-0.00330702,take_off,0.0,13,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.999999999998899e-05
33686,13,CC DChg,0.886111111111111,93.0416944444444,-0.00091945,3.5957,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.00306257,2025-06-26 23:44:40,-0.00330611,take_off,10.0,13,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.499999999997843e-05
