Cycle,Chg_Spec_mAhg,DChg_Spec_mAhg,Chg_Cap_Ah,DChg_Cap_Ah,Chg_Energy_Wh,DChg_Energy_Wh,CE,IR_proxy,HF_CHG_SPEC_HIGH,HF_DCHG_SPEC_LOW,HF_MISSING,hard_fail,soft_score,SP_IR_OUTLIER,SP_CE_SOFT,IR_proxy_threshold,Label,charge_V_end,take_off_V_end,hover_V_end,cruise_V_end,landing_V_end,standby_V_end,standby_t_end_h,landing_V_rel_global,cycle_label_3class,cycle_label_3name,battery_label_3class,battery_label_3name,file
20,148.29,147.96,0.003842,0.0038334,0.0148015,0.0132848,0.9977615825091098,0.3870110250713701,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4827,3.781,3.3713,3.0481,2.8,0.883,-0.0255500000000004,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
21,147.79,147.66,0.003829,0.0038256,0.0147539,0.013253,0.9991120396970488,0.3889060859698583,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4803,3.7796,3.3683,3.0451,2.8,0.876,-0.02855,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
22,148.32,147.41,0.0038427,0.003819,0.014802,0.0132376,0.9938324615504722,0.3857313683870358,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4878,3.7835,3.3692,3.029,2.7997,0.869,-0.0446500000000003,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
23,143.77,143.47,0.0037247,0.0037169,0.0143715,0.0128456,0.9979058716138212,0.402433273399347,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4798,3.766,3.3378,3.0155,2.8,0.771,-0.0581500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
24,146.85,145.99,0.0038046,0.0037822,0.0146589,0.0131064,0.9941123902644168,0.3876564215660352,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.482,3.7806,3.3618,3.0177,2.8,0.834,-0.0559500000000001,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
25,144.82,145.17,0.003752,0.0037612,0.0144797,0.0130187,1.002452025586354,0.3978795583544428,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4828,3.7744,3.3523,3.0279,2.7998,0.813,-0.0457500000000004,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
26,145.99,145.33,0.0037822,0.0037651,0.0145717,0.0130341,0.9954788218497173,0.390884371822136,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4723,3.7759,3.357,3.0038,2.7998,0.817,-0.0698500000000001,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
27,141.59,141.44,0.0036684,0.0036644,0.0141622,0.0126479,0.9989096063678988,0.4090322091757055,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4713,3.7583,3.3242,2.9971,2.7997,0.72,-0.0765500000000001,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
28,146.32,145.38,0.0037908,0.0037665,0.0146041,0.0130556,0.9935897435897436,0.3862694741428312,False,False,False,False,80,True,False,0.385,GOOD,4.3002,3.4806,3.7826,3.3612,3.0134,2.7999,0.819,-0.0602500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
29,143.76,143.86,0.0037246,0.0037271,0.0143743,0.0128999,1.000671213016163,0.3981777299396927,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4775,3.7739,3.3461,3.021,2.7998,0.781,-0.0526500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
