Cycle,Chg_Spec_mAhg,DChg_Spec_mAhg,Chg_Cap_Ah,DChg_Cap_Ah,Chg_Energy_Wh,DChg_Energy_Wh,CE,IR_proxy,HF_CHG_SPEC_HIGH,HF_DCHG_SPEC_LOW,HF_MISSING,hard_fail,soft_score,SP_IR_OUTLIER,SP_CE_SOFT,IR_proxy_threshold,Label,charge_V_end,take_off_V_end,hover_V_end,cruise_V_end,landing_V_end,standby_V_end,standby_t_end_h,landing_V_rel_global,cycle_label_3class,cycle_label_3name,battery_label_3class,battery_label_3name,file
200,82.63,81.87,0.0021408,0.0021212,0.0084871,0.0073552,0.9908445440956652,0.4969812984133126,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
201,82.94,82.4,0.0021487,0.0021348,0.008525,0.0074129,0.9935309722157584,0.4951056483695617,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
202,82.88,82.88,0.0021472,0.0021473,0.008522,0.0074561,1.000046572280179,0.4965756480099115,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
203,83.46,83.05,0.0021624,0.0021517,0.0085778,0.0074757,0.9950517943026266,0.4924735238040014,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
204,118.47,124.29,0.0030692,0.00322,0.011986,0.0119043,1.049133324644859,0.2082646053395272,False,False,False,False,100,False,False,0.385,GOOD,,,,,,,,,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
205,125.06,124.37,0.0032401,0.0032221,0.012585,0.0119233,0.9944446159069164,0.1836645328166546,False,False,False,False,100,False,False,0.385,GOOD,,,,,,,,,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
206,125.02,123.87,0.003239,0.0032091,0.0125821,0.0118891,0.9907687557888236,0.1797549350941257,False,False,False,False,100,False,False,0.385,GOOD,,,,,,,,,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
207,89.04,81.65,0.002307,0.0021155,0.0091049,0.007366,0.9169917641959257,0.4647214908189472,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
208,82.3,81.73,0.0021321,0.0021176,0.0084918,0.0073834,0.993199193283617,0.4961507884047127,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
209,83.6,83.09,0.0021659,0.0021527,0.0086315,0.0075262,0.9939055358049772,0.4890117676873968,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
210,83.32,82.03,0.0021588,0.0021251,0.0086024,0.0074351,0.9843894756346118,0.4861004306617023,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
211,82.68,82.15,0.0021422,0.0021284,0.008543,0.0074477,0.9935580244608346,0.4887550286454196,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
212,82.1,82.0,0.0021271,0.0021244,0.0084833,0.0074298,0.9987306661652016,0.4908359349836435,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
213,82.07,81.64,0.0021264,0.0021151,0.0084774,0.0073958,0.9946858540255832,0.4900713247205699,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
214,81.05,80.23,0.0020997,0.0020785,0.0083698,0.0072635,0.9899033195218364,0.4916010602520409,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
215,80.96,80.56,0.0020976,0.0020871,0.0083695,0.0072991,0.9949942791762016,0.4927912508098409,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
216,81.3,81.0,0.0021062,0.0020986,0.0084043,0.0073461,0.9963916057354476,0.4897903231117997,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
217,81.13,80.62,0.0021019,0.0020886,0.0083867,0.0073147,0.993672391645654,0.4878541831919021,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
218,81.35,80.67,0.0021077,0.0020901,0.0084108,0.0073255,0.9916496655121696,0.4856547565617704,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
219,80.13,79.97,0.0020761,0.0020718,0.0082879,0.0072508,0.9979288088242376,0.4922937419897679,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
220,80.33,79.95,0.0020811,0.0020715,0.0083073,0.0072544,0.9953870549228774,0.4897798123875545,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
221,80.27,79.78,0.0020796,0.0020668,0.0083032,0.0072419,0.9938449701865744,0.4887718001031378,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
222,79.8,79.55,0.0020674,0.002061,0.0082546,0.007218,0.9969043242720323,0.4905611038990396,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
223,79.27,78.65,0.0020537,0.0020377,0.0081982,0.007136,0.9922091834250376,0.4899294928375832,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
224,77.63,77.17,0.0020113,0.0019994,0.0080298,0.0069851,0.9940834286282504,0.4987451811539083,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
225,76.55,76.38,0.0019832,0.001979,0.00792,0.0069023,0.9978822105687776,0.5057741827714599,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
226,77.55,77.27,0.0020091,0.0020019,0.0080241,0.0069977,0.9964163058085708,0.4983486085411624,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
227,77.27,76.74,0.0020019,0.0019883,0.0079953,0.0069473,0.9932064538688248,0.4997654079451865,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
228,75.21,74.97,0.0019486,0.0019424,0.0077804,0.0067621,0.9968182284717232,0.5115035753713939,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
229,75.44,74.81,0.0019544,0.0019381,0.0078069,0.0067578,0.9916598444535408,0.5077081882587837,False,True,False,True,100,True,False,0.385,BAD,,,,,,,,,0,bad,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
4,181.84,177.95,0.0047111,0.0046103,0.0181272,0.0162783,0.978603723121989,0.316908966830122,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.7237,3.8953,3.5431,3.3013,2.7998,1.633,0.22765,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
5,177.75,175.92,0.0046053,0.0045579,0.0177054,0.0160886,0.989707510911341,0.314743053531157,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.7136,3.8918,3.5366,3.2899,2.8,1.583,0.21625,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
6,176.45,174.91,0.0045714,0.0045317,0.0175904,0.0160011,0.991315570722317,0.316997465682601,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.712,3.8929,3.5342,3.2837,2.7999,1.557,0.21005,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
7,175.37,174.3,0.0045434,0.0045157,0.0174958,0.0159503,0.993903244266408,0.318628868400519,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.7103,3.8931,3.534,3.2838,2.7999,1.542,0.21015,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
8,174.98,174.0,0.0045334,0.0045079,0.0174625,0.0159339,0.994375082719372,0.317304040015756,False,False,False,False,100,False,False,0.385,GOOD,4.3002,3.7132,3.8962,3.5351,3.2846,2.8,1.534,0.21095,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
9,174.18,173.02,0.0045125,0.0044827,0.0173865,0.0158416,0.993396121883657,0.319022391221851,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.7082,3.8934,3.5316,3.2771,2.7997,1.51,0.20345,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
10,173.06,172.28,0.0044837,0.0044634,0.017286,0.0157735,0.995472489238798,0.321332941027438,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.7045,3.8921,3.5294,3.2747,2.7999,1.491,0.20105,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
11,172.62,172.02,0.0044721,0.0044568,0.0172428,0.0157543,0.99657878848863,0.320747786338123,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.704,3.8927,3.5298,3.2751,2.7999,1.485,0.20145,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
12,172.7,172.03,0.0044742,0.004457,0.0172481,0.0157678,0.996155737338519,0.317252361047454,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.7102,3.8976,3.5324,3.2788,2.7998,1.485,0.20515,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
13,171.69,170.99,0.0044482,0.00443,0.017151,0.0156587,0.995908457353536,0.321021659609593,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6993,3.8917,3.5266,3.2693,2.7997,1.459,0.19565,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
14,171.19,170.55,0.0044352,0.0044185,0.0171068,0.0156188,0.996234668109668,0.322187896439621,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6986,3.8908,3.5253,3.2669,2.7999,1.448,0.19325,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
15,170.27,169.83,0.0044115,0.0044001,0.0170173,0.0155446,0.997415844950697,0.324702770000567,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6894,3.8869,3.5215,3.262,2.7998,1.431,0.18835,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
16,170.44,170.09,0.0044158,0.0044066,0.0170313,0.0155791,0.997916572308528,0.32149877864073,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6954,3.8909,3.5247,3.267,2.7998,1.437,0.19335,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
17,170.45,170.03,0.004416,0.0044051,0.0170282,0.0155809,0.997531702898551,0.319009635036004,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6979,3.8933,3.5264,3.2702,2.8,1.435,0.19655,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
18,169.98,169.58,0.0044038,0.0043935,0.0169815,0.0155341,0.997661110858804,0.320401082064134,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6942,3.8911,3.5237,3.266,2.7997,1.424,0.19235,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
19,170.23,169.96,0.0044103,0.0044034,0.0170044,0.0155815,0.998435480579552,0.317095037009343,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.7012,3.8959,3.5277,3.272,2.7999,1.433,0.19835,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
20,170.2,169.78,0.0044096,0.0043986,0.0169981,0.0155681,0.997505442670537,0.315463389500763,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.7014,3.8966,3.5281,3.2728,2.8,1.429,0.19915,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
21,169.84,169.44,0.0044003,0.0043899,0.0169618,0.0155352,0.997636524782401,0.315841182271608,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6992,3.8961,3.5266,3.2703,2.8,1.42,0.19665,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
22,169.62,169.04,0.0043945,0.0043794,0.0169403,0.0154987,0.996563886676528,0.315886013944005,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6988,3.8961,3.5255,3.2674,2.7997,1.41,0.19375,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
23,168.7,168.4,0.0043707,0.0043629,0.0168547,0.015431,0.998215388839316,0.319425362550145,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.69,3.8918,3.5216,3.2634,2.7999,1.394,0.18975,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
24,168.86,168.48,0.0043749,0.0043649,0.0168676,0.0154438,0.997714233468193,0.31735998635664,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6937,3.8941,3.5232,3.2645,2.7996,1.396,0.19085,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
25,168.61,168.2,0.0043684,0.0043577,0.0168427,0.0154182,0.997550590605256,0.317425553018139,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6923,3.8938,3.5223,3.263,2.7996,1.389,0.18935,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
26,168.22,167.84,0.0043584,0.0043485,0.0168047,0.0153844,0.997728524229075,0.317840296909815,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6904,3.893,3.5208,3.2611,2.8,1.381,0.18745,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
27,167.95,167.56,0.0043512,0.0043412,0.0167763,0.0153581,0.997701783416069,0.317802549784161,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6897,3.8924,3.5198,3.2595,2.7998,1.374,0.18585,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
28,167.72,167.32,0.0043454,0.0043349,0.0167539,0.0153371,0.997583651677636,0.317496768516447,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6899,3.8927,3.5195,3.2592,2.7998,1.368,0.18555,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
29,167.22,166.83,0.0043324,0.0043223,0.0167046,0.0152873,0.997668728649248,0.31889434897953,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6853,3.8908,3.5166,3.2548,2.7997,1.355,0.18115,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
30,167.0,166.64,0.0043267,0.0043174,0.0166846,0.0152712,0.997850555850879,0.319066425197939,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6862,3.8912,3.5162,3.2545,2.7999,1.351,0.18085,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
31,166.73,166.3,0.0043195,0.0043085,0.0166555,0.0152394,0.99745340895937,0.31883143853378,False,False,False,False,100,False,False,0.385,GOOD,4.3002,3.6832,3.8901,3.5151,3.2533,2.7998,1.342,0.17965,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
32,166.37,165.99,0.0043102,0.0043005,0.0166215,0.0152098,0.997749524384019,0.319566031751883,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6818,3.89,3.5138,3.2508,2.7999,1.334,0.17715,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
33,166.25,165.85,0.0043073,0.0042967,0.0166119,0.0151988,0.997539061593109,0.319365824302039,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6833,3.8906,3.514,3.2504,2.7999,1.331,0.17675,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
34,165.84,165.49,0.0042965,0.0042875,0.0165696,0.0151629,0.997905271732806,0.319997945307032,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6789,3.8887,3.512,3.2481,2.7997,1.322,0.17445,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
35,165.84,165.52,0.0042966,0.0042883,0.0165698,0.0151715,0.998068240003724,0.318609034632302,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6822,3.891,3.5135,3.2506,2.7997,1.322,0.17695,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
36,165.56,165.09,0.0042894,0.0042771,0.0165419,0.0151298,0.997132466079172,0.319063276667615,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6792,3.8896,3.5117,3.2476,2.7996,1.311,0.17395,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
37,165.06,164.63,0.0042765,0.0042653,0.0164959,0.0150833,0.997381035893838,0.321055454481788,False,False,False,False,100,False,False,0.385,GOOD,4.3002,3.6748,3.8876,3.509,3.2433,2.7997,1.3,0.16965,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
38,164.73,164.24,0.0042678,0.0042551,0.0164632,0.0150471,0.997024227939454,0.321287224604078,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6738,3.8873,3.5077,3.2406,2.7999,1.29,0.16695,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
39,163.98,163.53,0.0042483,0.0042367,0.0163921,0.0149742,0.997269496033708,0.324106334159638,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6668,3.883,3.5038,3.2353,2.7998,1.273,0.16165,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
40,163.76,163.46,0.0042426,0.0042348,0.0163732,0.0149711,0.998161504737661,0.323981758139858,False,False,False,False,100,False,False,0.385,GOOD,4.3002,3.6675,3.8842,3.5043,3.2366,2.8,1.271,0.16295,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
41,163.51,163.05,0.0042362,0.0042243,0.0163448,0.0149321,0.997190878617629,0.323553126631495,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6652,3.8832,3.5026,3.2338,2.7997,1.261,0.16015,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
42,163.12,162.72,0.0042261,0.0042158,0.0163099,0.0149003,0.997562764723977,0.324932144876795,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6631,3.8827,3.501,3.2313,2.7999,1.252,0.15765,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
43,162.87,162.47,0.0042196,0.0042092,0.0162872,0.0148794,0.997535311403925,0.324920917014635,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.663,3.8822,3.5009,3.2315,2.7999,1.246,0.15785,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
44,162.48,162.12,0.0042096,0.0042002,0.0162494,0.0148443,0.997767008741923,0.325892869827868,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6603,3.8808,3.4989,3.228,2.7999,1.237,0.15435,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
45,162.01,161.57,0.0041973,0.0041859,0.0162027,0.0147897,0.997283968265313,0.327048652049116,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6558,3.8783,3.4963,3.2247,2.7999,1.223,0.15105,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
46,161.51,161.16,0.0041844,0.0041752,0.0161551,0.014749,0.997801357422809,0.328267079253979,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6514,3.8766,3.4944,3.2221,2.7997,1.213,0.14845,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
47,162.26,162.23,0.0042038,0.004203,0.0162345,0.0148784,0.999809695989343,0.321915419828453,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6707,3.8878,3.5054,3.2419,2.8,1.239,0.16825,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
48,162.36,161.94,0.0042064,0.0041957,0.0162306,0.014845,0.997456257131989,0.32040268060311,False,False,False,False,100,False,False,0.385,GOOD,4.3002,3.6671,3.8861,3.5022,3.2331,2.7999,1.232,0.15945,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
49,161.8,161.43,0.0041919,0.0041824,0.0161769,0.0147934,0.99773372456404,0.322025317736233,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6624,3.8842,3.4994,3.2293,2.7997,1.219,0.15565,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
50,161.38,160.98,0.0041811,0.0041707,0.0161355,0.0147495,0.997512616297147,0.322695187921119,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6597,3.8828,3.4971,3.2261,2.8,1.208,0.15245,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
51,161.08,160.67,0.0041732,0.0041626,0.0161071,0.0147206,0.997459982747052,0.323256543531699,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.658,3.8822,3.496,3.2242,2.7999,1.2,0.15055,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
52,160.16,159.79,0.0041494,0.0041399,0.0160152,0.0146281,0.997710512363233,0.32619952114777,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.645,3.8755,3.4908,3.2191,2.8,1.178,0.14545,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
53,159.88,159.5,0.0041422,0.0041323,0.015992,0.0146,0.9976099657187,0.327608976060173,False,False,False,False,100,False,False,0.385,GOOD,4.3001,3.6452,3.8758,3.4889,3.2148,2.7997,1.171,0.14115,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
54,159.85,159.39,0.0041415,0.0041296,0.0159896,0.0145943,0.99712664493541,0.326752276699735,False,False,False,False,100,False,False,0.385,GOOD,4.3002,3.6483,3.8779,3.4894,3.2133,2.7998,1.168,0.13965,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
55,159.1,158.67,0.0041221,0.0041108,0.0159179,0.0145199,0.997258678828752,0.329464805811082,False,False,False,False,100,False,False,0.385,GOOD,4.3,3.6403,3.8737,3.4849,3.2073,2.7997,1.15,0.13365,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx
