file,status,reason,first_cycle,first_label,rows,count_bad,count_good_not_drone,count_good_drone
2025-07-21 GraSi NMC811 XFC 1 2_1_2_2025-07-21 17-50-19_good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-07-21 GraSi NMC811 XFC 1 3_1_3_2025-07-21 17-50-35_good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-07-21 GraSi NMC811 XFC 1 4_1_4_2025-07-21 17-51-01_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-07-21 GraSi NMC811 XFC 1 6_1_6_2025-07-21 17-51-42_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-07-21 GraSi NMC811 XFC 15 1_1_7_2025-07-21 17-52-15_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-07-21 GraSi NMC811 XFC 15 2_1_8_2025-07-21 17-52-35_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-07-21 GraSi NMC811 XFC 15 4_2_2_2025-07-21 17-53-08_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-07-21 GraSi NMC811 XFC 15 5_2_3_2025-07-21 17-53-25_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-07-21 GraSi NMC811 XFC 15 6_2_4_2025-07-21 17-53-41_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-07-23 GraSi NMC811 XFC 15 1_4_3_2025-07-23 15-15-23_good_labeled_3class.xlsx,kept,,4,good_drone,5,1,1,3
2025-07-23 GraSi NMC811 XFC 15 3_4_5_2025-07-23 15-16-02_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-07-23 GraSi NMC811 XFC 15 4_4_6_2025-07-23 15-16-21_good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-07-23 GraSi NMC811 XFC 15 5_4_7_2025-07-23 15-16-52_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-07-23 GraSi NMC811 XFC 15 6_4_8_2025-07-23 15-17-10_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
