file,cycles,pass_ChgSpec,pass_DChgSpec,pass_IRproxy,pass_CEdev,pass_All,pct_pass_ChgSpec,pct_pass_DChgSpec,pct_pass_IRproxy,pct_pass_CEdev,pct_pass_All
2025-07-09 GraSi NMC811 LP57 LiDFP 1_4_7_2025-07-09 18-05-14_bad_labeled.xlsx,48,34,4,1,1,0,70.83,8.33,2.08,2.08,0.0
2025-07-09 GraSi NMC811 LP57 LiDFP 2_4_8_2025-07-09 18-05-30_bad_labeled.xlsx,43,30,18,20,24,3,69.77,41.86,46.51,55.81,6.98
2025-07-09 GraSi NMC811 LP57 LiDFP 3_6_1_2025-07-09 18-05-44_bad_labeled.xlsx,7,7,0,6,0,0,100.0,0.0,85.71,0.0,0.0
2025-07-09 GraSi NMC811 XFC 15 1_6_5_2025-07-09 18-06-54_good_labeled.xlsx,41,20,23,17,0,0,48.78,56.1,41.46,0.0,0.0
2025-07-09 GraSi NMC811 XFC 15 2_6_6_2025-07-09 18-07-08_bad_labeled.xlsx,481,476,1,0,10,0,98.96,0.21,0.0,2.08,0.0
2025-07-09 GraSi NMC811 XFC 15 3_6_7_2025-07-09 18-07-22_bad_labeled.xlsx,811,805,4,3,121,0,99.26,0.49,0.37,14.92,0.0
2025-07-09 GraSi NMC811 XFC 1_6_2_2025-07-09 18-06-07_bad_labeled.xlsx,40,36,3,0,3,0,90.0,7.5,0.0,7.5,0.0
2025-07-09 GraSi NMC811 XFC 2_6_3_2025-07-09 18-06-22_good_labeled.xlsx,38,0,38,38,1,0,0.0,100.0,100.0,2.63,0.0
2025-07-09 GraSi NMC811 XFC 3_6_4_2025-07-09 18-06-36_bad_labeled.xlsx,811,806,2,0,177,0,99.38,0.25,0.0,21.82,0.0
2025-07-17 GraSi NMC811 XFC 1 1_3_1_2025-07-17 18-37-19_bad_labeled.xlsx,22,20,2,1,3,0,90.91,9.09,4.55,13.64,0.0
2025-07-17 GraSi NMC811 XFC 1 2_3_2_2025-07-17 18-37-35_bad_labeled.xlsx,185,182,1,0,1,0,98.38,0.54,0.0,0.54,0.0
2025-07-17 GraSi NMC811 XFC 1 3_3_3_2025-07-17 18-37-50_bad_labeled.xlsx,811,806,1,0,105,0,99.38,0.12,0.0,12.95,0.0
2025-07-17 GraSi NMC811 XFC 15 1_3_5_2025-07-17 18-38-33_bad_labeled.xlsx,14,6,6,3,0,0,42.86,42.86,21.43,0.0,0.0
2025-07-17 GraSi NMC811 XFC 15 2_3_6_2025-07-17 18-38-51_bad_labeled.xlsx,14,7,5,3,0,0,50.0,35.71,21.43,0.0,0.0
2025-07-17 GraSi NMC811 XFC 15 3_3_7_2025-07-17 18-39-10_bad_labeled.xlsx,11,5,7,2,0,0,45.45,63.64,18.18,0.0,0.0
2025-07-17 GraSi NMC811 XFC 15 4_3_8_2025-07-17 18-39-25_bad_labeled.xlsx,15,12,2,0,0,0,80.0,13.33,0.0,0.0,0.0
2025-07-17 GraSi NMC811 XFC 2 1_4_1_2025-07-17 18-39-47_bad_labeled.xlsx,28,22,2,0,1,0,78.57,7.14,0.0,3.57,0.0
2025-07-17 GraSi NMC811 XFC 2 2_4_2_2025-07-17 18-40-07_bad_labeled.xlsx,8,2,0,0,0,0,25.0,0.0,0.0,0.0,0.0
2025-07-17 GraSi NMC811 XFC 2 3_4_3_2025-07-17 18-40-21_good_labeled.xlsx,20,19,1,0,0,0,95.0,5.0,0.0,0.0,0.0
2025-07-17 GraSi NMC811 XFC 2 4_4_4_2025-07-17 18-40-38_good_labeled.xlsx,12,0,12,12,4,0,0.0,100.0,100.0,33.33,0.0
2025-07-17 GraSi NMC811 XFC 4 1_4_5_2025-07-17 18-41-01_good_labeled.xlsx,14,6,10,7,2,0,42.86,71.43,50.0,14.29,0.0
2025-07-17 GraSi NMC811 XFC 4 2_4_6_2025-07-17 18-41-21_bad_labeled.xlsx,14,8,2,0,0,0,57.14,14.29,0.0,0.0,0.0
2025-07-17 GraSi NMC811 XFC 4 3_4_7_2025-07-17 18-41-34_bad_labeled.xlsx,10,1,2,0,0,0,10.0,20.0,0.0,0.0,0.0
2025-07-17 GraSi NMC811 XFC 4 4_4_8_2025-07-17 18-41-54_bad_labeled.xlsx,12,1,12,5,0,0,8.33,100.0,41.67,0.0,0.0
2025-07-21 GraSi NMC811 XFC 1 1_1_1_2025-07-21 17-49-58_bad_labeled.xlsx,3002,2999,0,0,40,0,99.9,0.0,0.0,1.33,0.0
2025-07-21 GraSi NMC811 XFC 1 2_1_2_2025-07-21 17-50-19_good_labeled.xlsx,13,11,4,0,11,0,84.62,30.77,0.0,84.62,0.0
2025-07-21 GraSi NMC811 XFC 1 3_1_3_2025-07-21 17-50-35_good_labeled.xlsx,13,1,13,7,5,0,7.69,100.0,53.85,38.46,0.0
2025-07-21 GraSi NMC811 XFC 1 4_1_4_2025-07-21 17-51-01_bad_labeled.xlsx,3002,3000,1,0,29,0,99.93,0.03,0.0,0.97,0.0
2025-07-21 GraSi NMC811 XFC 1 6_1_6_2025-07-21 17-51-42_bad_labeled.xlsx,3002,2997,1,0,87,0,99.83,0.03,0.0,2.9,0.0
2025-07-21 GraSi NMC811 XFC 15 1_1_7_2025-07-21 17-52-15_bad_labeled.xlsx,3002,2997,4,1,53,0,99.83,0.13,0.03,1.77,0.0
2025-07-21 GraSi NMC811 XFC 15 2_1_8_2025-07-21 17-52-35_bad_labeled.xlsx,120,114,6,2,104,0,95.0,5.0,1.67,86.67,0.0
2025-07-21 GraSi NMC811 XFC 15 4_2_2_2025-07-21 17-53-08_bad_labeled.xlsx,102,93,5,4,11,0,91.18,4.9,3.92,10.78,0.0
2025-07-21 GraSi NMC811 XFC 15 5_2_3_2025-07-21 17-53-25_bad_labeled.xlsx,3002,2999,2,0,51,0,99.9,0.07,0.0,1.7,0.0
2025-07-21 GraSi NMC811 XFC 15 6_2_4_2025-07-21 17-53-41_bad_labeled.xlsx,1050,1042,5,1,356,0,99.24,0.48,0.1,33.9,0.0
2025-07-23 GraSi NMC811 XFC 15 1_4_3_2025-07-23 15-15-23_good_labeled.xlsx,5,0,5,5,0,0,0.0,100.0,100.0,0.0,0.0
2025-07-23 GraSi NMC811 XFC 15 3_4_5_2025-07-23 15-16-02_bad_labeled.xlsx,2002,1984,5,0,177,0,99.1,0.25,0.0,8.84,0.0
2025-07-23 GraSi NMC811 XFC 15 4_4_6_2025-07-23 15-16-21_good_labeled.xlsx,5,0,5,5,1,0,0.0,100.0,100.0,20.0,0.0
2025-07-23 GraSi NMC811 XFC 15 5_4_7_2025-07-23 15-16-52_bad_labeled.xlsx,3002,2998,1,0,65,0,99.87,0.03,0.0,2.17,0.0
2025-07-23 GraSi NMC811 XFC 15 6_4_8_2025-07-23 15-17-10_bad_labeled.xlsx,1834,1822,6,1,688,0,99.35,0.33,0.05,37.51,0.0
