Cycle,cycles,hard_fail_cnt,soft_fail_cnt,both_fail_cnt,pct_hard_fail,pct_soft_fail,pct_both_fail
146,30,28,29,28,93.33,96.67,93.33
147,30,28,29,28,93.33,96.67,93.33
148,30,29,30,29,96.67,100.0,96.67
149,30,29,29,28,96.67,96.67,93.33
150,29,29,28,28,100.0,96.55,96.55
151,29,29,28,28,100.0,96.55,96.55
152,29,28,28,28,96.55,96.55,96.55
153,29,29,28,28,100.0,96.55,96.55
154,29,29,28,28,100.0,96.55,96.55
155,29,28,28,28,96.55,96.55,96.55
156,29,29,29,29,100.0,100.0,100.0
157,29,29,28,28,100.0,96.55,96.55
158,29,29,29,29,100.0,100.0,100.0
159,29,29,28,28,100.0,96.55,96.55
160,29,29,28,28,100.0,96.55,96.55
161,29,29,28,28,100.0,96.55,96.55
162,29,29,28,28,100.0,96.55,96.55
163,29,29,29,29,100.0,100.0,100.0
164,29,29,28,28,100.0,96.55,96.55
165,29,29,28,28,100.0,96.55,96.55
166,29,29,29,29,100.0,100.0,100.0
167,29,29,28,28,100.0,96.55,96.55
168,29,29,28,28,100.0,96.55,96.55
169,29,29,28,28,100.0,96.55,96.55
170,29,29,28,28,100.0,96.55,96.55
171,29,28,28,27,96.55,96.55,93.1
172,29,29,28,28,100.0,96.55,96.55
173,29,29,28,28,100.0,96.55,96.55
174,29,29,28,28,100.0,96.55,96.55
175,29,29,28,28,100.0,96.55,96.55
176,29,29,28,28,100.0,96.55,96.55
177,29,29,28,28,100.0,96.55,96.55
178,29,29,28,28,100.0,96.55,96.55
179,29,29,28,28,100.0,96.55,96.55
180,29,29,28,28,100.0,96.55,96.55
181,29,29,28,28,100.0,96.55,96.55
182,29,29,28,28,100.0,96.55,96.55
183,29,29,28,28,100.0,96.55,96.55
184,29,29,28,28,100.0,96.55,96.55
185,29,29,28,28,100.0,96.55,96.55
186,29,29,29,29,100.0,100.0,100.0
187,29,29,28,28,100.0,96.55,96.55
188,29,29,29,29,100.0,100.0,100.0
189,27,27,26,26,100.0,96.3,96.3
190,27,27,27,27,100.0,100.0,100.0
191,27,27,27,27,100.0,100.0,100.0
192,27,27,26,26,100.0,96.3,96.3
