window_s,train_rows,test_rows,datapoint_accuracy,datapoint_macro_f1,cycle_accuracy,cycle_macro_f1
1,4519,899,0.7853170189098999,0.6716249932032857,0.7879417879417879,0.7001398948532233
2,4520,899,0.7797552836484983,0.6675449861808903,0.7796257796257796,0.693534168231638
5,4521,937,0.7630736392742796,0.6520172606677436,0.7858627858627859,0.698437897569664
10,7548,1412,0.7592067988668555,0.6528048853950182,0.7588357588357588,0.6647072714712631
20,10738,1931,0.759709994821336,0.6570789811958896,0.7650727650727651,0.6746179098051878
30,14601,2450,0.7587755102040816,0.6600887744643634,0.7671517671517671,0.6708723944554335
50,19852,3488,0.760894495412844,0.6637029698501208,0.762993762993763,0.6649663077019964
60,22330,4007,0.764412278512603,0.6653978275818638,0.760914760914761,0.6576706057702545
