file,cycles,good,bad,error
2025-07-17 GraSi NMC811 XFC 1 2_3_2_2025-07-17 18-37-35_bad.xlsx,185,4,181,
2025-07-17 GraSi NMC811 XFC 1 3_3_3_2025-07-17 18-37-50_bad.xlsx,811,1,810,
2025-07-17 GraSi NMC811 XFC 1 4_3_4_2025-07-17 18-38-06_bad.xlsx,0,0,0,'Cycle'
2025-07-17 GraSi NMC811 XFC 15 1_3_5_2025-07-17 18-38-33_bad.xlsx,14,12,2,
2025-07-17 GraSi NMC811 XFC 15 2_3_6_2025-07-17 18-38-51_bad.xlsx,14,13,1,
2025-07-17 GraSi NMC811 XFC 15 3_3_7_2025-07-17 18-39-10_bad.xlsx,11,8,3,
2025-07-17 GraSi NMC811 XFC 15 4_3_8_2025-07-17 18-39-25_bad.xlsx,15,9,6,
2025-07-17 GraSi NMC811 XFC 2 1_4_1_2025-07-17 18-39-47_bad.xlsx,28,3,25,
2025-07-17 GraSi NMC811 XFC 2 2_4_2_2025-07-17 18-40-07_bad.xlsx,8,0,8,
2025-07-17 GraSi NMC811 XFC 2 3_4_3_2025-07-17 18-40-21_good.xlsx,20,5,15,
2025-07-17 GraSi NMC811 XFC 2 4_4_4_2025-07-17 18-40-38_good.xlsx,12,12,0,
2025-07-17 GraSi NMC811 XFC 4 1_4_5_2025-07-17 18-41-01_good.xlsx,14,14,0,
2025-07-17 GraSi NMC811 XFC 4 2_4_6_2025-07-17 18-41-21_bad.xlsx,14,5,9,
2025-07-17 GraSi NMC811 XFC 4 3_4_7_2025-07-17 18-41-34_bad.xlsx,10,0,10,
2025-07-17 GraSi NMC811 XFC 4 4_4_8_2025-07-17 18-41-54_bad.xlsx,12,10,2,
2025-07-21 GraSi NMC811 XFC 1 1_1_1_2025-07-21 17-49-58_bad.xlsx,3002,3,2999,
2025-07-21 GraSi NMC811 XFC 1 2_1_2_2025-07-21 17-50-19_good.xlsx,13,13,0,
2025-07-21 GraSi NMC811 XFC 1 3_1_3_2025-07-21 17-50-35_good.xlsx,13,13,0,
2025-07-21 GraSi NMC811 XFC 1 4_1_4_2025-07-21 17-51-01_bad.xlsx,3002,3,2999,
2025-07-21 GraSi NMC811 XFC 1 5_1_5_2025-07-21 17-51-26_bad.xlsx,0,0,0,'Cycle'
2025-07-21 GraSi NMC811 XFC 1 6_1_6_2025-07-21 17-51-42_bad.xlsx,3002,3,2999,
2025-07-21 GraSi NMC811 XFC 15 1_1_7_2025-07-21 17-52-15_bad.xlsx,3002,4,2998,
2025-07-21 GraSi NMC811 XFC 15 2_1_8_2025-07-21 17-52-35_bad.xlsx,120,9,111,
2025-07-21 GraSi NMC811 XFC 15 3_2_1_2025-07-21 17-52-51_good.xlsx,0,0,0,Missing required sheet 'cycle'.
2025-07-21 GraSi NMC811 XFC 15 4_2_2_2025-07-21 17-53-08_bad.xlsx,102,5,97,
2025-07-21 GraSi NMC811 XFC 15 5_2_3_2025-07-21 17-53-25_bad.xlsx,3002,5,2997,
2025-07-21 GraSi NMC811 XFC 15 6_2_4_2025-07-21 17-53-41_bad.xlsx,1050,6,1044,
2025-07-23 GraSi NMC811 XFC 15 1_4_3_2025-07-23 15-15-23_good.xlsx,5,4,1,
2025-07-23 GraSi NMC811 XFC 15 2_4_4_2025-07-23 15-15-44_bad.xlsx,0,0,0,'Cycle'
2025-07-23 GraSi NMC811 XFC 15 3_4_5_2025-07-23 15-16-02_bad.xlsx,2002,3,1999,
2025-07-23 GraSi NMC811 XFC 15 4_4_6_2025-07-23 15-16-21_good.xlsx,5,5,0,
2025-07-23 GraSi NMC811 XFC 15 5_4_7_2025-07-23 15-16-52_bad.xlsx,3002,3,2999,
2025-07-23 GraSi NMC811 XFC 15 6_4_8_2025-07-23 15-17-10_bad.xlsx,1834,5,1829,
